tm,MVm,PVm
3.140000000000000000e+02,1.000000000000000000e+00,3.037499999999999645e-01
3.150000000000000000e+02,1.000000000000000000e+00,3.053499999999999548e-01
3.160000000000000000e+02,1.000000000000000000e+00,3.029500000000000526e-01
3.170000000000000000e+02,1.000000000000000000e+00,3.045500000000000429e-01
3.180000000000000000e+02,1.000000000000000000e+00,3.045500000000000429e-01
3.190000000000000000e+02,1.000000000000000000e+00,3.045500000000000429e-01
3.200000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.210000000000000000e+02,1.000000000000000000e+00,3.053499999999999548e-01
3.220000000000000000e+02,1.000000000000000000e+00,3.053499999999999548e-01
3.230000000000000000e+02,1.000000000000000000e+00,3.037499999999999645e-01
3.240000000000000000e+02,1.000000000000000000e+00,3.053499999999999548e-01
3.250000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.260000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.270000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.280000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.290000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.300000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.310000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.320000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.330000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.340000000000000000e+02,1.000000000000000000e+00,3.061749999999999750e-01
3.350000000000000000e+02,1.000000000000000000e+00,3.069749999999998868e-01
3.360000000000000000e+02,1.000000000000000000e+00,3.102000000000000313e-01
3.370000000000000000e+02,1.000000000000000000e+00,3.134249999999999536e-01
3.380000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.390000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.400000000000000000e+02,1.000000000000000000e+00,3.182499999999999218e-01
3.410000000000000000e+02,1.000000000000000000e+00,3.206749999999999323e-01
3.420000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.430000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.440000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.450000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.460000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.470000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.480000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.490000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.500000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.510000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.520000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.530000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.540000000000000000e+02,1.000000000000000000e+00,3.214750000000000663e-01
3.550000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.560000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.570000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.580000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.590000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.600000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.610000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.620000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.630000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.640000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.650000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.660000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.670000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.680000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.690000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.700000000000000000e+02,1.000000000000000000e+00,3.222749999999999782e-01
3.710000000000000000e+02,1.000000000000000000e+00,3.214750000000000663e-01
3.720000000000000000e+02,1.000000000000000000e+00,3.214750000000000663e-01
3.730000000000000000e+02,1.000000000000000000e+00,3.190500000000000003e-01
3.740000000000000000e+02,1.000000000000000000e+00,3.182499999999999218e-01
3.750000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.760000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.770000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.780000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.790000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.800000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.810000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.820000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.830000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.840000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
3.850000000000000000e+02,1.000000000000000000e+00,3.142250000000000876e-01
